Naruto	JustAnime	445
ONE PIECE	Airflix	818
Bleach	AnimeLand	156
Death Note	AnimeLand	142
Fullmetal Alchemist: Brotherhood	JustAnime	500
Attack on Titan	AnimeSogo	280
Your lie in April	JustAnime	563
Assassination Classroom	AnimeKai (Unoriginal)	468
A Silent Voice	AnimeLand	132
Attack on Titan Season 2	AnimeSogo	356
My Hero Academia	JustAnime	586
Mob Psycho 100	JustAnime	580
Your Name.	Airflix	459
Black Clover	JustAnime	568
The Promised Neverland	AnimeSogo	327
Demon Slayer: Kimetsu no Yaiba	JustAnime	378
Sparks of Tomorrow	JustAnime	528
Attack on Titan Final Season	AnimeLand	362
JUJUTSU KAISEN	JustAnime	508
Chainsaw Man	JustAnime	446
Puella Magi Madoka Magica the Movie -Walpurgisnacht: Rising-	XPass	840
Saga of Tanya the Evil Season 2	JustAnime	453
Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs Season 2	JustAnime	368
Oh Boy, Was I Wrong About Her	JustAnime	439
Ascendance of a Bookworm: Adopted Daughter of an Archduke	AnimeSogo	337
Goodbye, Lara	JustAnime	268
THE GHOST IN THE SHELL	JustAnime	275
The Exiled Heavy Knight Knows How to Game the System	AnimeSogo	409
That Time I Got Reincarnated as a Slime Season 4	AnimeSogo	405
Skeleton Knight in Another World Season 2	JustAnime	477
BLEACH: Thousand-Year Blood War - The Calamity	AnimeSogo	458
I Want to Love You Till Your Dying Day	JustAnime	368
BLACK TORCH	Airflix	621
Though I Am an Inept Villainess	JustAnime	398
Re:ZERO -Starting Life in Another World- Season 4	JustAnime	281
Jaadugar: A Witch in Mongolia	JustAnime	402
From Old Country Bumpkin to Master Swordsman II	AnimeSogo	354
Daemons of the Shadow Realm	JustAnime	292
Smoking Behind the Supermarket with You	JustAnime	296
The Classroom of the Black Cat and a Witch	JustAnime	216
The World's Strongest Rearguard	JustAnime	215
Clevatess Season 2	JustAnime	283
Hanaori-san Still Wants to Fight in the Next Life	JustAnime	319
Grand Blue Dreaming Season 3	AnimeSogo	301
I Became a Legend After My 10 Year-Long Last Stand	Airflix	721
The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You Season 3	JustAnime	388
Rich Girl Caretaker: I'm Secretly the Caregiver of the Most Popular Girl in This Rich Kid School	JustAnime	307
Love Unseen Beneath the Clear Night Sky	JustAnime	250
Iron Wok Jan!	Airflix	618
Chainsmoker Cat	Airflix	659
From Overshadowed to Overpowered: Second Reincarnation of a Talentless Sage	JustAnime	228
HELL MODE: The Hardcore Gamer Dominates in Another World with Garbage Balancing Season 2	JustAnime	547
